iter	Passed	Remaining
924	2163	175
925	2165	173
926	2166	170
927	2167	168
928	2168	165
929	2170	163
930	2173	161
931	2175	158
932	2178	156
933	2179	154
934	2180	151
935	2181	149
936	2183	146
937	2184	144
938	2185	142
939	2188	139
940	2189	137
941	2190	134
942	2192	132
943	2194	130
944	2195	127
945	2196	125
946	2198	123
947	2199	120
948	2200	118
949	2203	115
950	2204	113
951	2205	111
952	2206	108
953	2207	106
954	2208	104
955	2210	101
956	2212	99
957	2213	97
958	2217	94
959	2219	92
960	2221	90
961	2223	87
962	2224	85
963	2225	83
964	2226	80
965	2228	78
966	2230	76
967	2232	73
968	2234	71
969	2235	69
970	2237	66
971	2238	64
972	2240	62
973	2241	59
974	2242	57
975	2243	55
976	2244	52
977	2248	50
978	2249	48
979	2251	45
980	2252	43
981	2253	41
982	2255	39
983	2256	36
984	2257	34
985	2258	32
986	2260	29
987	2264	27
988	2265	25
989	2267	22
990	2268	20
991	2269	18
992	2270	16
993	2272	13
994	2273	11
995	2275	9
996	2277	6
997	2279	4
998	2281	2
999	2283	0
